variable,expression,result
h,\sin (  ( e ^ { h } )  ),(  e ^ { h } ) \cos (  ( e ^ { h } )  )
h,\cos (  ( e ^ { h } )  ),(  e ^ { h } ) - \sin (  ( e ^ { h } )  )
h,\tan (  ( e ^ { h } )  ),(  e ^ { h } ) \frac { 1 } { \cos ^ { 2 } (  ( e ^ { h } )  ) }
h,\cot (  ( e ^ { h } )  ),(  e ^ { h } ) - \frac { 1 } { \sin ^ { 2 } (  ( e ^ { h } )  ) }
h,\arcsin (  ( e ^ { h } )  ),(  e ^ { h } ) \frac { 1 } { \sqrt { 1 -  ( e ^ { h } )  ^ { 2 } } }
h,\arccos (  ( e ^ { h } )  ),(  e ^ { h } ) - \frac { 1 } { \sqrt { 1 -  ( e ^ { h } )  ^ { 2 } } }
h,\arctan (  ( e ^ { h } )  ),(  e ^ { h } ) \frac { 1 } { 1 +  ( e ^ { h } )  ^ { 2 } }
h, ( e ^ { h } )  + \delta,(  e ^ { h } ) 1
h,\epsilon -  ( e ^ { h } ) ,(  e ^ { h } ) - 1
h, ( e ^ { h } )  \varpi,(  e ^ { h } ) \varpi
h,\frac { 1 } {  ( e ^ { h } )  + R },(  e ^ { h } ) - \frac { 1 } { (  ( e ^ { h } )  + R ) ^ { 2 } }
h,\frac { 1 } { \psi -  ( e ^ { h } )  },(  e ^ { h } ) \frac { 1 } { ( \psi -  ( e ^ { h } )  ) ^ { 2 } }
i, ( e ^ { i } )  ^ { W },(  e ^ { i } ) W  ( e ^ { i } )  ^ { W - 1 }
i, ( e ^ { i } )  ^ { 0 },(  e ^ { i } ) 0
i,W ^ {  ( e ^ { i } )  },(  e ^ { i } ) W ^ {  ( e ^ { i } )  } \ln ( W )
i,e ^ {  ( e ^ { i } )  },(  e ^ { i } ) e ^ {  ( e ^ { i } )  }
i,\exp (  ( e ^ { i } )  ),(  e ^ { i } ) \exp (  ( e ^ { i } )  )
i,\ln (  ( e ^ { i } )  ),(  e ^ { i } ) \frac { 1 } {  ( e ^ { i } )  }
i,\log _ { \varepsilon } (  ( e ^ { i } )  ),(  e ^ { i } ) \frac { 1 } {  ( e ^ { i } )  \ln ( { \varepsilon } ) }
i,\sin (  ( e ^ { i } )  ),(  e ^ { i } ) \cos (  ( e ^ { i } )  )
i,\cos (  ( e ^ { i } )  ),(  e ^ { i } ) - \sin (  ( e ^ { i } )  )
i,\tan (  ( e ^ { i } )  ),(  e ^ { i } ) \frac { 1 } { \cos ^ { 2 } (  ( e ^ { i } )  ) }
i,\cot (  ( e ^ { i } )  ),(  e ^ { i } ) - \frac { 1 } { \sin ^ { 2 } (  ( e ^ { i } )  ) }
i,\arcsin (  ( e ^ { i } )  ),(  e ^ { i } ) \frac { 1 } { \sqrt { 1 -  ( e ^ { i } )  ^ { 2 } } }
i,\arccos (  ( e ^ { i } )  ),(  e ^ { i } ) - \frac { 1 } { \sqrt { 1 -  ( e ^ { i } )  ^ { 2 } } }
i,\arctan (  ( e ^ { i } )  ),(  e ^ { i } ) \frac { 1 } { 1 +  ( e ^ { i } )  ^ { 2 } }
i, ( e ^ { i } )  + R,(  e ^ { i } ) 1
i,k -  ( e ^ { i } ) ,(  e ^ { i } ) - 1
i, ( e ^ { i } )  R,(  e ^ { i } ) R
i,\frac { 1 } {  ( e ^ { i } )  + Y },(  e ^ { i } ) - \frac { 1 } { (  ( e ^ { i } )  + Y ) ^ { 2 } }
i,\frac { 1 } { I -  ( e ^ { i } )  },(  e ^ { i } ) \frac { 1 } { ( I -  ( e ^ { i } )  ) ^ { 2 } }
j, ( e ^ { j } )  ^ { \vartheta },(  e ^ { j } ) \vartheta  ( e ^ { j } )  ^ { \vartheta - 1 }
j, ( e ^ { j } )  ^ { 0 },(  e ^ { j } ) 0
j,Y ^ {  ( e ^ { j } )  },(  e ^ { j } ) Y ^ {  ( e ^ { j } )  } \ln ( Y )
j,e ^ {  ( e ^ { j } )  },(  e ^ { j } ) e ^ {  ( e ^ { j } )  }
j,\exp (  ( e ^ { j } )  ),(  e ^ { j } ) \exp (  ( e ^ { j } )  )
j,\ln (  ( e ^ { j } )  ),(  e ^ { j } ) \frac { 1 } {  ( e ^ { j } )  }
j,\log _ { 8 } (  ( e ^ { j } )  ),(  e ^ { j } ) \frac { 1 } {  ( e ^ { j } )  \ln ( { 8 } ) }
j,\sin (  ( e ^ { j } )  ),(  e ^ { j } ) \cos (  ( e ^ { j } )  )
j,\cos (  ( e ^ { j } )  ),(  e ^ { j } ) - \sin (  ( e ^ { j } )  )
j,\tan (  ( e ^ { j } )  ),(  e ^ { j } ) \frac { 1 } { \cos ^ { 2 } (  ( e ^ { j } )  ) }
j,\cot (  ( e ^ { j } )  ),(  e ^ { j } ) - \frac { 1 } { \sin ^ { 2 } (  ( e ^ { j } )  ) }
j,\arcsin (  ( e ^ { j } )  ),(  e ^ { j } ) \frac { 1 } { \sqrt { 1 -  ( e ^ { j } )  ^ { 2 } } }
j,\arccos (  ( e ^ { j } )  ),(  e ^ { j } ) - \frac { 1 } { \sqrt { 1 -  ( e ^ { j } )  ^ { 2 } } }
j,\arctan (  ( e ^ { j } )  ),(  e ^ { j } ) \frac { 1 } { 1 +  ( e ^ { j } )  ^ { 2 } }
j, ( e ^ { j } )  + G,(  e ^ { j } ) 1
j,\Gamma -  ( e ^ { j } ) ,(  e ^ { j } ) - 1
j, ( e ^ { j } )  K,(  e ^ { j } ) K
j,\frac { 1 } {  ( e ^ { j } )  + 2 },(  e ^ { j } ) - \frac { 1 } { (  ( e ^ { j } )  + 2 ) ^ { 2 } }
j,\frac { 1 } { D -  ( e ^ { j } )  },(  e ^ { j } ) \frac { 1 } { ( D -  ( e ^ { j } )  ) ^ { 2 } }
k, ( e ^ { k } )  ^ { z },(  e ^ { k } ) z  ( e ^ { k } )  ^ { z - 1 }
k, ( e ^ { k } )  ^ { 0 },(  e ^ { k } ) 0
k,u ^ {  ( e ^ { k } )  },(  e ^ { k } ) u ^ {  ( e ^ { k } )  } \ln ( u )
k,e ^ {  ( e ^ { k } )  },(  e ^ { k } ) e ^ {  ( e ^ { k } )  }
k,\exp (  ( e ^ { k } )  ),(  e ^ { k } ) \exp (  ( e ^ { k } )  )
k,\ln (  ( e ^ { k } )  ),(  e ^ { k } ) \frac { 1 } {  ( e ^ { k } )  }
k,\log _ { H } (  ( e ^ { k } )  ),(  e ^ { k } ) \frac { 1 } {  ( e ^ { k } )  \ln ( { H } ) }
k,\sin (  ( e ^ { k } )  ),(  e ^ { k } ) \cos (  ( e ^ { k } )  )
k,\cos (  ( e ^ { k } )  ),(  e ^ { k } ) - \sin (  ( e ^ { k } )  )
k,\tan (  ( e ^ { k } )  ),(  e ^ { k } ) \frac { 1 } { \cos ^ { 2 } (  ( e ^ { k } )  ) }
k,\cot (  ( e ^ { k } )  ),(  e ^ { k } ) - \frac { 1 } { \sin ^ { 2 } (  ( e ^ { k } )  ) }
k,\arcsin (  ( e ^ { k } )  ),(  e ^ { k } ) \frac { 1 } { \sqrt { 1 -  ( e ^ { k } )  ^ { 2 } } }
k,\arccos (  ( e ^ { k } )  ),(  e ^ { k } ) - \frac { 1 } { \sqrt { 1 -  ( e ^ { k } )  ^ { 2 } } }
k,\arctan (  ( e ^ { k } )  ),(  e ^ { k } ) \frac { 1 } { 1 +  ( e ^ { k } )  ^ { 2 } }
k, ( e ^ { k } )  + \sigma,(  e ^ { k } ) 1
k,u -  ( e ^ { k } ) ,(  e ^ { k } ) - 1
k, ( e ^ { k } )  y,(  e ^ { k } ) y
k,\frac { 1 } {  ( e ^ { k } )  + E },(  e ^ { k } ) - \frac { 1 } { (  ( e ^ { k } )  + E ) ^ { 2 } }
k,\frac { 1 } { \Omega -  ( e ^ { k } )  },(  e ^ { k } ) \frac { 1 } { ( \Omega -  ( e ^ { k } )  ) ^ { 2 } }
l, ( e ^ { l } )  ^ { u },(  e ^ { l } ) u  ( e ^ { l } )  ^ { u - 1 }
l, ( e ^ { l } )  ^ { 0 },(  e ^ { l } ) 0
l,x ^ {  ( e ^ { l } )  },(  e ^ { l } ) x ^ {  ( e ^ { l } )  } \ln ( x )
l,e ^ {  ( e ^ { l } )  },(  e ^ { l } ) e ^ {  ( e ^ { l } )  }
l,\exp (  ( e ^ { l } )  ),(  e ^ { l } ) \exp (  ( e ^ { l } )  )
l,\ln (  ( e ^ { l } )  ),(  e ^ { l } ) \frac { 1 } {  ( e ^ { l } )  }
l,\log _ {  } (  ( e ^ { l } )  ),(  e ^ { l } ) \frac { 1 } {  ( e ^ { l } )  \ln ( {  } ) }
l,\sin (  ( e ^ { l } )  ),(  e ^ { l } ) \cos (  ( e ^ { l } )  )
l,\cos (  ( e ^ { l } )  ),(  e ^ { l } ) - \sin (  ( e ^ { l } )  )
l,\tan (  ( e ^ { l } )  ),(  e ^ { l } ) \frac { 1 } { \cos ^ { 2 } (  ( e ^ { l } )  ) }
l,\cot (  ( e ^ { l } )  ),(  e ^ { l } ) - \frac { 1 } { \sin ^ { 2 } (  ( e ^ { l } )  ) }
l,\arcsin (  ( e ^ { l } )  ),(  e ^ { l } ) \frac { 1 } { \sqrt { 1 -  ( e ^ { l } )  ^ { 2 } } }
l,\arccos (  ( e ^ { l } )  ),(  e ^ { l } ) - \frac { 1 } { \sqrt { 1 -  ( e ^ { l } )  ^ { 2 } } }
l,\arctan (  ( e ^ { l } )  ),(  e ^ { l } ) \frac { 1 } { 1 +  ( e ^ { l } )  ^ { 2 } }
l, ( e ^ { l } )  + 5,(  e ^ { l } ) 1
l,W -  ( e ^ { l } ) ,(  e ^ { l } ) - 1
l, ( e ^ { l } )  \Pi,(  e ^ { l } ) \Pi
l,\frac { 1 } {  ( e ^ { l } )  + \mu },(  e ^ { l } ) - \frac { 1 } { (  ( e ^ { l } )  + \mu ) ^ { 2 } }
l,\frac { 1 } { \varpi -  ( e ^ { l } )  },(  e ^ { l } ) \frac { 1 } { ( \varpi -  ( e ^ { l } )  ) ^ { 2 } }
m, ( e ^ { m } )  ^ { \Phi },(  e ^ { m } ) \Phi  ( e ^ { m } )  ^ { \Phi - 1 }
m, ( e ^ { m } )  ^ { 0 },(  e ^ { m } ) 0
m,S ^ {  ( e ^ { m } )  },(  e ^ { m } ) S ^ {  ( e ^ { m } )  } \ln ( S )
m,e ^ {  ( e ^ { m } )  },(  e ^ { m } ) e ^ {  ( e ^ { m } )  }
m,\exp (  ( e ^ { m } )  ),(  e ^ { m } ) \exp (  ( e ^ { m } )  )
m,\ln (  ( e ^ { m } )  ),(  e ^ { m } ) \frac { 1 } {  ( e ^ { m } )  }
m,\log _ { I } (  ( e ^ { m } )  ),(  e ^ { m } ) \frac { 1 } {  ( e ^ { m } )  \ln ( { I } ) }
m,\sin (  ( e ^ { m } )  ),(  e ^ { m } ) \cos (  ( e ^ { m } )  )
m,\cos (  ( e ^ { m } )  ),(  e ^ { m } ) - \sin (  ( e ^ { m } )  )
m,\tan (  ( e ^ { m } )  ),(  e ^ { m } ) \frac { 1 } { \cos ^ { 2 } (  ( e ^ { m } )  ) }
m,\cot (  ( e ^ { m } )  ),(  e ^ { m } ) - \frac { 1 } { \sin ^ { 2 } (  ( e ^ { m } )  ) }
m,\arcsin (  ( e ^ { m } )  ),(  e ^ { m } ) \frac { 1 } { \sqrt { 1 -  ( e ^ { m } )  ^ { 2 } } }
m,\arccos (  ( e ^ { m } )  ),(  e ^ { m } ) - \frac { 1 } { \sqrt { 1 -  ( e ^ { m } )  ^ { 2 } } }
m,\arctan (  ( e ^ { m } )  ),(  e ^ { m } ) \frac { 1 } { 1 +  ( e ^ { m } )  ^ { 2 } }
m, ( e ^ { m } )  + F,(  e ^ { m } ) 1
m,\Delta -  ( e ^ { m } ) ,(  e ^ { m } ) - 1
m, ( e ^ { m } )  \Pi,(  e ^ { m } ) \Pi
m,\frac { 1 } {  ( e ^ { m } )  +  },(  e ^ { m } ) - \frac { 1 } { (  ( e ^ { m } )  +  ) ^ { 2 } }
m,\frac { 1 } { E -  ( e ^ { m } )  },(  e ^ { m } ) \frac { 1 } { ( E -  ( e ^ { m } )  ) ^ { 2 } }
n, ( e ^ { n } )  ^ { 8 },(  e ^ { n } ) 8  ( e ^ { n } )  ^ { 8 - 1 }
n, ( e ^ { n } )  ^ { 0 },(  e ^ { n } ) 0
n,\Theta ^ {  ( e ^ { n } )  },(  e ^ { n } ) \Theta ^ {  ( e ^ { n } )  } \ln ( \Theta )
n,e ^ {  ( e ^ { n } )  },(  e ^ { n } ) e ^ {  ( e ^ { n } )  }
n,\exp (  ( e ^ { n } )  ),(  e ^ { n } ) \exp (  ( e ^ { n } )  )
n,\ln (  ( e ^ { n } )  ),(  e ^ { n } ) \frac { 1 } {  ( e ^ { n } )  }
n,\log _ { \delta } (  ( e ^ { n } )  ),(  e ^ { n } ) \frac { 1 } {  ( e ^ { n } )  \ln ( { \delta } ) }
n,\sin (  ( e ^ { n } )  ),(  e ^ { n } ) \cos (  ( e ^ { n } )  )
n,\cos (  ( e ^ { n } )  ),(  e ^ { n } ) - \sin (  ( e ^ { n } )  )
n,\tan (  ( e ^ { n } )  ),(  e ^ { n } ) \frac { 1 } { \cos ^ { 2 } (  ( e ^ { n } )  ) }
n,\cot (  ( e ^ { n } )  ),(  e ^ { n } ) - \frac { 1 } { \sin ^ { 2 } (  ( e ^ { n } )  ) }
n,\arcsin (  ( e ^ { n } )  ),(  e ^ { n } ) \frac { 1 } { \sqrt { 1 -  ( e ^ { n } )  ^ { 2 } } }
n,\arccos (  ( e ^ { n } )  ),(  e ^ { n } ) - \frac { 1 } { \sqrt { 1 -  ( e ^ { n } )  ^ { 2 } } }
n,\arctan (  ( e ^ { n } )  ),(  e ^ { n } ) \frac { 1 } { 1 +  ( e ^ { n } )  ^ { 2 } }
n, ( e ^ { n } )  + 4,(  e ^ { n } ) 1
n,s -  ( e ^ { n } ) ,(  e ^ { n } ) - 1
n, ( e ^ { n } )  \rho,(  e ^ { n } ) \rho
n,\frac { 1 } {  ( e ^ { n } )  + 5 },(  e ^ { n } ) - \frac { 1 } { (  ( e ^ { n } )  + 5 ) ^ { 2 } }
n,\frac { 1 } { h -  ( e ^ { n } )  },(  e ^ { n } ) \frac { 1 } { ( h -  ( e ^ { n } )  ) ^ { 2 } }
o, ( e ^ { o } )  ^ { B },(  e ^ { o } ) B  ( e ^ { o } )  ^ { B - 1 }
o, ( e ^ { o } )  ^ { 0 },(  e ^ { o } ) 0
o,B ^ {  ( e ^ { o } )  },(  e ^ { o } ) B ^ {  ( e ^ { o } )  } \ln ( B )
o,e ^ {  ( e ^ { o } )  },(  e ^ { o } ) e ^ {  ( e ^ { o } )  }
o,\exp (  ( e ^ { o } )  ),(  e ^ { o } ) \exp (  ( e ^ { o } )  )
o,\ln (  ( e ^ { o } )  ),(  e ^ { o } ) \frac { 1 } {  ( e ^ { o } )  }
o,\log _ { \sigma } (  ( e ^ { o } )  ),(  e ^ { o } ) \frac { 1 } {  ( e ^ { o } )  \ln ( { \sigma } ) }
o,\sin (  ( e ^ { o } )  ),(  e ^ { o } ) \cos (  ( e ^ { o } )  )
o,\cos (  ( e ^ { o } )  ),(  e ^ { o } ) - \sin (  ( e ^ { o } )  )
o,\tan (  ( e ^ { o } )  ),(  e ^ { o } ) \frac { 1 } { \cos ^ { 2 } (  ( e ^ { o } )  ) }
o,\cot (  ( e ^ { o } )  ),(  e ^ { o } ) - \frac { 1 } { \sin ^ { 2 } (  ( e ^ { o } )  ) }
o,\arcsin (  ( e ^ { o } )  ),(  e ^ { o } ) \frac { 1 } { \sqrt { 1 -  ( e ^ { o } )  ^ { 2 } } }
o,\arccos (  ( e ^ { o } )  ),(  e ^ { o } ) - \frac { 1 } { \sqrt { 1 -  ( e ^ { o } )  ^ { 2 } } }
o,\arctan (  ( e ^ { o } )  ),(  e ^ { o } ) \frac { 1 } { 1 +  ( e ^ { o } )  ^ { 2 } }
o, ( e ^ { o } )  + I,(  e ^ { o } ) 1
o,\varrho -  ( e ^ { o } ) ,(  e ^ { o } ) - 1
o, ( e ^ { o } )  A,(  e ^ { o } ) A
o,\frac { 1 } {  ( e ^ { o } )  + u },(  e ^ { o } ) - \frac { 1 } { (  ( e ^ { o } )  + u ) ^ { 2 } }
o,\frac { 1 } { R -  ( e ^ { o } )  },(  e ^ { o } ) \frac { 1 } { ( R -  ( e ^ { o } )  ) ^ { 2 } }
p, ( e ^ { p } )  ^ { j },(  e ^ { p } ) j  ( e ^ { p } )  ^ { j - 1 }
p, ( e ^ { p } )  ^ { 0 },(  e ^ { p } ) 0
p,W ^ {  ( e ^ { p } )  },(  e ^ { p } ) W ^ {  ( e ^ { p } )  } \ln ( W )
p,e ^ {  ( e ^ { p } )  },(  e ^ { p } ) e ^ {  ( e ^ { p } )  }
p,\exp (  ( e ^ { p } )  ),(  e ^ { p } ) \exp (  ( e ^ { p } )  )
p,\ln (  ( e ^ { p } )  ),(  e ^ { p } ) \frac { 1 } {  ( e ^ { p } )  }
p,\log _ { C } (  ( e ^ { p } )  ),(  e ^ { p } ) \frac { 1 } {  ( e ^ { p } )  \ln ( { C } ) }
p,\sin (  ( e ^ { p } )  ),(  e ^ { p } ) \cos (  ( e ^ { p } )  )
p,\cos (  ( e ^ { p } )  ),(  e ^ { p } ) - \sin (  ( e ^ { p } )  )
p,\tan (  ( e ^ { p } )  ),(  e ^ { p } ) \frac { 1 } { \cos ^ { 2 } (  ( e ^ { p } )  ) }
p,\cot (  ( e ^ { p } )  ),(  e ^ { p } ) - \frac { 1 } { \sin ^ { 2 } (  ( e ^ { p } )  ) }
p,\arcsin (  ( e ^ { p } )  ),(  e ^ { p } ) \frac { 1 } { \sqrt { 1 -  ( e ^ { p } )  ^ { 2 } } }
p,\arccos (  ( e ^ { p } )  ),(  e ^ { p } ) - \frac { 1 } { \sqrt { 1 -  ( e ^ { p } )  ^ { 2 } } }
p,\arctan (  ( e ^ { p } )  ),(  e ^ { p } ) \frac { 1 } { 1 +  ( e ^ { p } )  ^ { 2 } }
p, ( e ^ { p } )  + D,(  e ^ { p } ) 1
p,d -  ( e ^ { p } ) ,(  e ^ { p } ) - 1
p, ( e ^ { p } )  I,(  e ^ { p } ) I
p,\frac { 1 } {  ( e ^ { p } )  + s },(  e ^ { p } ) - \frac { 1 } { (  ( e ^ { p } )  + s ) ^ { 2 } }
p,\frac { 1 } { 5 -  ( e ^ { p } )  },(  e ^ { p } ) \frac { 1 } { ( 5 -  ( e ^ { p } )  ) ^ { 2 } }
q, ( e ^ { q } )  ^ { J },(  e ^ { q } ) J  ( e ^ { q } )  ^ { J - 1 }
q, ( e ^ { q } )  ^ { 0 },(  e ^ { q } ) 0
q,\gamma ^ {  ( e ^ { q } )  },(  e ^ { q } ) \gamma ^ {  ( e ^ { q } )  } \ln ( \gamma )
q,e ^ {  ( e ^ { q } )  },(  e ^ { q } ) e ^ {  ( e ^ { q } )  }
q,\exp (  ( e ^ { q } )  ),(  e ^ { q } ) \exp (  ( e ^ { q } )  )
q,\ln (  ( e ^ { q } )  ),(  e ^ { q } ) \frac { 1 } {  ( e ^ { q } )  }
q,\log _ { p } (  ( e ^ { q } )  ),(  e ^ { q } ) \frac { 1 } {  ( e ^ { q } )  \ln ( { p } ) }
q,\sin (  ( e ^ { q } )  ),(  e ^ { q } ) \cos (  ( e ^ { q } )  )
q,\cos (  ( e ^ { q } )  ),(  e ^ { q } ) - \sin (  ( e ^ { q } )  )
q,\tan (  ( e ^ { q } )  ),(  e ^ { q } ) \frac { 1 } { \cos ^ { 2 } (  ( e ^ { q } )  ) }
q,\cot (  ( e ^ { q } )  ),(  e ^ { q } ) - \frac { 1 } { \sin ^ { 2 } (  ( e ^ { q } )  ) }
q,\arcsin (  ( e ^ { q } )  ),(  e ^ { q } ) \frac { 1 } { \sqrt { 1 -  ( e ^ { q } )  ^ { 2 } } }
q,\arccos (  ( e ^ { q } )  ),(  e ^ { q } ) - \frac { 1 } { \sqrt { 1 -  ( e ^ { q } )  ^ { 2 } } }
q,\arctan (  ( e ^ { q } )  ),(  e ^ { q } ) \frac { 1 } { 1 +  ( e ^ { q } )  ^ { 2 } }
q, ( e ^ { q } )  + \Sigma,(  e ^ { q } ) 1
q,9 -  ( e ^ { q } ) ,(  e ^ { q } ) - 1
q, ( e ^ { q } )  K,(  e ^ { q } ) K
q,\frac { 1 } {  ( e ^ { q } )  + \rho },(  e ^ { q } ) - \frac { 1 } { (  ( e ^ { q } )  + \rho ) ^ { 2 } }
q,\frac { 1 } { v -  ( e ^ { q } )  },(  e ^ { q } ) \frac { 1 } { ( v -  ( e ^ { q } )  ) ^ { 2 } }
r, ( e ^ { r } )  ^ { \Omega },(  e ^ { r } ) \Omega  ( e ^ { r } )  ^ { \Omega - 1 }
r, ( e ^ { r } )  ^ { 0 },(  e ^ { r } ) 0
r,C ^ {  ( e ^ { r } )  },(  e ^ { r } ) C ^ {  ( e ^ { r } )  } \ln ( C )
r,e ^ {  ( e ^ { r } )  },(  e ^ { r } ) e ^ {  ( e ^ { r } )  }
r,\exp (  ( e ^ { r } )  ),(  e ^ { r } ) \exp (  ( e ^ { r } )  )
r,\ln (  ( e ^ { r } )  ),(  e ^ { r } ) \frac { 1 } {  ( e ^ { r } )  }
r,\log _ { x } (  ( e ^ { r } )  ),(  e ^ { r } ) \frac { 1 } {  ( e ^ { r } )  \ln ( { x } ) }
r,\sin (  ( e ^ { r } )  ),(  e ^ { r } ) \cos (  ( e ^ { r } )  )
r,\cos (  ( e ^ { r } )  ),(  e ^ { r } ) - \sin (  ( e ^ { r } )  )
r,\tan (  ( e ^ { r } )  ),(  e ^ { r } ) \frac { 1 } { \cos ^ { 2 } (  ( e ^ { r } )  ) }
r,\cot (  ( e ^ { r } )  ),(  e ^ { r } ) - \frac { 1 } { \sin ^ { 2 } (  ( e ^ { r } )  ) }
r,\arcsin (  ( e ^ { r } )  ),(  e ^ { r } ) \frac { 1 } { \sqrt { 1 -  ( e ^ { r } )  ^ { 2 } } }
r,\arccos (  ( e ^ { r } )  ),(  e ^ { r } ) - \frac { 1 } { \sqrt { 1 -  ( e ^ { r } )  ^ { 2 } } }
r,\arctan (  ( e ^ { r } )  ),(  e ^ { r } ) \frac { 1 } { 1 +  ( e ^ { r } )  ^ { 2 } }
r, ( e ^ { r } )  + e,(  e ^ { r } ) 1
r,U -  ( e ^ { r } ) ,(  e ^ { r } ) - 1
r, ( e ^ { r } )  \pi,(  e ^ { r } ) \pi
r,\frac { 1 } {  ( e ^ { r } )  + \rho },(  e ^ { r } ) - \frac { 1 } { (  ( e ^ { r } )  + \rho ) ^ { 2 } }
r,\frac { 1 } { X -  ( e ^ { r } )  },(  e ^ { r } ) \frac { 1 } { ( X -  ( e ^ { r } )  ) ^ { 2 } }
s, ( e ^ { s } )  ^ { Y },(  e ^ { s } ) Y  ( e ^ { s } )  ^ { Y - 1 }
s, ( e ^ { s } )  ^ { 0 },(  e ^ { s } ) 0
s,\pi ^ {  ( e ^ { s } )  },(  e ^ { s } ) \pi ^ {  ( e ^ { s } )  } \ln ( \pi )
s,e ^ {  ( e ^ { s } )  },(  e ^ { s } ) e ^ {  ( e ^ { s } )  }
s,\exp (  ( e ^ { s } )  ),(  e ^ { s } ) \exp (  ( e ^ { s } )  )
s,\ln (  ( e ^ { s } )  ),(  e ^ { s } ) \frac { 1 } {  ( e ^ { s } )  }
s,\log _ { W } (  ( e ^ { s } )  ),(  e ^ { s } ) \frac { 1 } {  ( e ^ { s } )  \ln ( { W } ) }
s,\sin (  ( e ^ { s } )  ),(  e ^ { s } ) \cos (  ( e ^ { s } )  )
s,\cos (  ( e ^ { s } )  ),(  e ^ { s } ) - \sin (  ( e ^ { s } )  )
s,\tan (  ( e ^ { s } )  ),(  e ^ { s } ) \frac { 1 } { \cos ^ { 2 } (  ( e ^ { s } )  ) }
s,\cot (  ( e ^ { s } )  ),(  e ^ { s } ) - \frac { 1 } { \sin ^ { 2 } (  ( e ^ { s } )  ) }
s,\arcsin (  ( e ^ { s } )  ),(  e ^ { s } ) \frac { 1 } { \sqrt { 1 -  ( e ^ { s } )  ^ { 2 } } }
s,\arccos (  ( e ^ { s } )  ),(  e ^ { s } ) - \frac { 1 } { \sqrt { 1 -  ( e ^ { s } )  ^ { 2 } } }
s,\arctan (  ( e ^ { s } )  ),(  e ^ { s } ) \frac { 1 } { 1 +  ( e ^ { s } )  ^ { 2 } }
s, ( e ^ { s } )  + \delta,(  e ^ { s } ) 1
s,b -  ( e ^ { s } ) ,(  e ^ { s } ) - 1
s, ( e ^ { s } )  V,(  e ^ { s } ) V
s,\frac { 1 } {  ( e ^ { s } )  + X },(  e ^ { s } ) - \frac { 1 } { (  ( e ^ { s } )  + X ) ^ { 2 } }
s,\frac { 1 } { 4 -  ( e ^ { s } )  },(  e ^ { s } ) \frac { 1 } { ( 4 -  ( e ^ { s } )  ) ^ { 2 } }
t, ( e ^ { t } )  ^ { v },(  e ^ { t } ) v  ( e ^ { t } )  ^ { v - 1 }
t, ( e ^ { t } )  ^ { 0 },(  e ^ { t } ) 0
t,p ^ {  ( e ^ { t } )  },(  e ^ { t } ) p ^ {  ( e ^ { t } )  } \ln ( p )
t,e ^ {  ( e ^ { t } )  },(  e ^ { t } ) e ^ {  ( e ^ { t } )  }
t,\exp (  ( e ^ { t } )  ),(  e ^ { t } ) \exp (  ( e ^ { t } )  )
t,\ln (  ( e ^ { t } )  ),(  e ^ { t } ) \frac { 1 } {  ( e ^ { t } )  }
t,\log _ { v } (  ( e ^ { t } )  ),(  e ^ { t } ) \frac { 1 } {  ( e ^ { t } )  \ln ( { v } ) }
t,\sin (  ( e ^ { t } )  ),(  e ^ { t } ) \cos (  ( e ^ { t } )  )
t,\cos (  ( e ^ { t } )  ),(  e ^ { t } ) - \sin (  ( e ^ { t } )  )
t,\tan (  ( e ^ { t } )  ),(  e ^ { t } ) \frac { 1 } { \cos ^ { 2 } (  ( e ^ { t } )  ) }
t,\cot (  ( e ^ { t } )  ),(  e ^ { t } ) - \frac { 1 } { \sin ^ { 2 } (  ( e ^ { t } )  ) }
t,\arcsin (  ( e ^ { t } )  ),(  e ^ { t } ) \frac { 1 } { \sqrt { 1 -  ( e ^ { t } )  ^ { 2 } } }
t,\arccos (  ( e ^ { t } )  ),(  e ^ { t } ) - \frac { 1 } { \sqrt { 1 -  ( e ^ { t } )  ^ { 2 } } }
t,\arctan (  ( e ^ { t } )  ),(  e ^ { t } ) \frac { 1 } { 1 +  ( e ^ { t } )  ^ { 2 } }
t, ( e ^ { t } )  + P,(  e ^ { t } ) 1
t,Q -  ( e ^ { t } ) ,(  e ^ { t } ) - 1
t, ( e ^ { t } )  \beta,(  e ^ { t } ) \beta
t,\frac { 1 } {  ( e ^ { t } )  + \mu },(  e ^ { t } ) - \frac { 1 } { (  ( e ^ { t } )  + \mu ) ^ { 2 } }
t,\frac { 1 } { y -  ( e ^ { t } )  },(  e ^ { t } ) \frac { 1 } { ( y -  ( e ^ { t } )  ) ^ { 2 } }
u, ( e ^ { u } )  ^ { 2 },(  e ^ { u } ) 2  ( e ^ { u } )  ^ { 2 - 1 }
u, ( e ^ { u } )  ^ { 0 },(  e ^ { u } ) 0
u,\Psi ^ {  ( e ^ { u } )  },(  e ^ { u } ) \Psi ^ {  ( e ^ { u } )  } \ln ( \Psi )
u,e ^ {  ( e ^ { u } )  },(  e ^ { u } ) e ^ {  ( e ^ { u } )  }
u,\exp (  ( e ^ { u } )  ),(  e ^ { u } ) \exp (  ( e ^ { u } )  )
u,\ln (  ( e ^ { u } )  ),(  e ^ { u } ) \frac { 1 } {  ( e ^ { u } )  }
u,\log _ { \nu } (  ( e ^ { u } )  ),(  e ^ { u } ) \frac { 1 } {  ( e ^ { u } )  \ln ( { \nu } ) }
